"","Date","Time","lat","lng","Wind","Pressure","Storm Type","Category","Category_chr","Name"
"147","Sep 09","03:00 GMT",16.9,-59.3,"155 mph","938 mb","Hurricane","4","Four","Jose"
"148","Sep 09","06:00 GMT",17.2,-59.6,"150 mph","940 mb","Hurricane","4","Four","Jose"
"149","Sep 09","09:00 GMT",17.5,-60.3,"150 mph","940 mb","Hurricane","4","Four","Jose"
"150","Sep 09","12:00 GMT",17.8,-60.7,"145 mph","944 mb","Hurricane","4","Four","Jose"
"151","Sep 09","15:00 GMT",18.3,-61.3,"145 mph","945 mb","Hurricane","4","Four","Jose"
"152","Sep 09","18:00 GMT",18.8,-61.9,"145 mph","945 mb","Hurricane","4","Four","Jose"
"153","Sep 09","21:00 GMT",19.2,-62.4,"145 mph","945 mb","Hurricane","4","Four","Jose"
"154","Sep 10","00:00 GMT",19.4,-62.9,"145 mph","945 mb","Hurricane","4","Four","Jose"
"155","Sep 10","03:00 GMT",19.8,-63.4,"130 mph","944 mb","Hurricane","4","Four","Jose"
"156","Sep 10","06:00 GMT",20.4,-64,"130 mph","944 mb","Hurricane","4","Four","Jose"
"157","Sep 10","09:00 GMT",20.8,-64.5,"130 mph","944 mb","Hurricane","4","Four","Jose"
"158","Sep 10","12:00 GMT",21.2,-65.3,"130 mph","944 mb","Hurricane","4","Four","Jose"
"159","Sep 10","15:00 GMT",21.7,-65.8,"130 mph","944 mb","Hurricane","4","Four","Jose"
"160","Sep 10","21:00 GMT",22.8,-66.9,"120 mph","956 mb","Hurricane","3","Three","Jose"
"161","Sep 11","03:00 GMT",23.7,-68.1,"115 mph","962 mb","Hurricane","3","Three","Jose"
"162","Sep 11","09:00 GMT",24.4,-68.6,"105 mph","968 mb","Hurricane","2","Two","Jose"
"163","Sep 11","15:00 GMT",25.5,-69.1,"105 mph","968 mb","Hurricane","2","Two","Jose"
